City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
226,Praia,14.9215,-23.5087,72.14,60,1,20.71,CV,2022-02-03 04:29:30,clear sky
227,Fairbanks,64.8378,-147.7164,-22.99,69,0,0.0,US,2022-02-03 04:26:53,clear sky
228,Palmer,42.1584,-72.3287,39.85,83,100,0.0,US,2022-02-03 04:29:30,overcast clouds
229,Chimbote,-9.0853,-78.5783,69.71,84,62,7.18,PE,2022-02-03 04:25:22,broken clouds
230,Pisco,-13.7,-76.2167,66.25,88,0,12.66,PE,2022-02-03 04:29:31,clear sky
231,Gidam,18.9833,81.4,75.38,49,38,4.83,IN,2022-02-03 04:29:31,scattered clouds
232,Prince Rupert,54.3161,-130.3201,39.29,100,100,3.44,CA,2022-02-03 04:30:32,light rain
233,Shache,38.4167,77.2406,35.71,31,100,2.71,CN,2022-02-03 04:30:32,overcast clouds
234,Lunenburg,44.3835,-64.3155,37.4,94,100,10.18,CA,2022-02-03 04:30:32,overcast clouds
235,Oudtshoorn,-33.5907,22.2014,64.76,82,85,0.4,ZA,2022-02-03 04:30:33,overcast clouds
236,Provideniya,64.3833,-173.3,2.62,67,96,22.01,RU,2022-02-03 04:30:33,overcast clouds
237,Kampot,10.6167,104.1833,84.25,55,85,6.8,KH,2022-02-03 04:30:33,moderate rain
238,Sitka,57.0531,-135.33,37.29,93,100,3.44,US,2022-02-03 04:27:08,mist
239,Saraipali,21.3333,83.0,77.79,25,0,7.36,IN,2022-02-03 04:30:34,clear sky
240,Mocuba,-16.8392,36.9856,74.77,87,72,3.18,MZ,2022-02-03 04:30:34,broken clouds
241,Naze,28.3667,129.4833,54.52,87,100,19.1,JP,2022-02-03 04:23:03,overcast clouds
242,Ulladulla,-35.35,150.4667,71.76,52,24,13.18,AU,2022-02-03 04:30:35,few clouds
243,Vila Velha,-20.3297,-40.2925,75.15,96,100,1.01,BR,2022-02-03 04:30:35,overcast clouds
244,Grande Riviere Du Nord,19.5833,-72.1833,70.45,93,55,8.03,HT,2022-02-03 04:30:36,broken clouds
245,Urusha,54.05,122.9,4.39,53,39,8.08,RU,2022-02-03 04:30:36,scattered clouds
